sample	experiment	comet_params	enzyme_regex	fasta	server
03923_GD1-TMT_TUM_aspn_25_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_25_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD1-TMT_TUM_aspn_25_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_25_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD10-TMT_TUM_aspn_34_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_34_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD10-TMT_TUM_aspn_34_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_34_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD11-TMT_TUM_aspn_35_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_35_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD11-TMT_TUM_aspn_35_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_35_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD12-TMT_TUM_aspn_36_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_36_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD12-TMT_TUM_aspn_36_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_36_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD2-TMT_TUM_aspn_26_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_26_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD2-TMT_TUM_aspn_26_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_26_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD3-TMT_TUM_aspn_27_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_27_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD3-TMT_TUM_aspn_27_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_27_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD4-TMT_TUM_aspn_28_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_28_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD4-TMT_TUM_aspn_28_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_28_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD5-TMT_TUM_aspn_29_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_29_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD5-TMT_TUM_aspn_29_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_29_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD6-TMT_TUM_aspn_30_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_30_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD6-TMT_TUM_aspn_30_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_30_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD7-TMT_TUM_aspn_31_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_31_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD7-TMT_TUM_aspn_31_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_31_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD8-TMT_TUM_aspn_32_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_32_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD8-TMT_TUM_aspn_32_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_32_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD9-TMT_TUM_aspn_33_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_33_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GD9-TMT_TUM_aspn_33_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_33_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE1-TMT_TUM_aspn_37_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_37_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE1-TMT_TUM_aspn_37_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_37_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE2-TMT_TUM_aspn_38_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_38_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE2-TMT_TUM_aspn_38_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_38_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE3-TMT_TUM_aspn_39_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_39_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE3-TMT_TUM_aspn_39_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_39_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE4-TMT_TUM_aspn_40_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_40_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE4-TMT_TUM_aspn_40_01_01-TMT2-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_40_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE5-TMT_TUM_aspn_41_01_01-TMT1-1h-R1	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_41_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
03923_GE5-TMT_TUM_aspn_41_01_01-TMT2-1h-R2	TMT_ASPN	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_aspn_41_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA1-TMT_TUM_HLA_1_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_1_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA1-TMT_TUM_HLA_1_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_1_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA10-TMT_TUM_HLA_10_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_10_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA10-TMT_TUM_HLA_10_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_10_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA11-TMT_TUM_HLA_11_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_11_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA11-TMT_TUM_HLA_11_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_11_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA12-TMT_TUM_HLA_12_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_12_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA12-TMT_TUM_HLA_12_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_12_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA2-TMT_TUM_HLA_2_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_2_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA2-TMT_TUM_HLA_2_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_2_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA3-TMT_TUM_HLA_3_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_3_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA3-TMT_TUM_HLA_3_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_3_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA4-TMT_TUM_HLA_4_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_4_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA4-TMT_TUM_HLA_4_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_4_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA5-TMT_TUM_HLA_5_01_01-TMT1-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_5_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
02527_BA5-TMT_TUM_HLA_5_01_01-TMT2-1h-R1	TMT_HLA	comet_params/comet.TMT.nocleavage.params.high_high 	[Z]	fasta/TUM_HLA_5_contam.decoy.fasta	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/04/PXD023120/
